Name,Country,Founded,Industry,Number_of_employees
Liu-Hoover,Western Sahara,1980,Online Publishing,6852
Orr-Armstrong,Algeria,1970,Import / Export,7994
Gill-Lamb,Cote d'Ivoire,2005,Apparel / Fashion,5105
Bauer-Weiss,United States of America,2015,Dairy,9069
Love-Palmer,Denmark,2010,Management Consulting,6991
"Farmer, Edwards and Andrade",Norfolk Island,2003,Mental Health Care,3503
"Bass, Hester and Mcclain",Uzbekistan,1994,Computer Hardware,2762
"Strickland, Gray and Jensen",Israel,1987,Performing Arts,7020
"Sparks, Decker and Powell",Israel,1977,Marketing / Advertising / Sales,2709
"Osborn, Ford and Macdonald",Syrian Arab Republic,1990,Investment Banking / Venture,5731
Gonzales Inc,Angola,2019,Capital Markets / Hedge Fund / Private Equity,2252
"Ballard, Goodman and Boone",Iran,2019,Logistics / Procurement,6165
"Bernard, Payne and Spencer",Afghanistan,1990,Transportation,730
Mcpherson-Blanchard,Bulgaria,1972,Law Enforcement,9890
"Koch, Gomez and Hays",French Southern Territories,1997,Financial Services,8497
"Meza, Ramirez and Braun",Timor-Leste,2012,Public Relations / PR,5205
"Morales, Hinton and Gibbs",Serbia,2014,Museums / Institutions,6706
Abbott-Arroyo,Hungary,1994,Architecture / Planning,117
Trevino-Foley,Canada,1973,Wine / Spirits,6765
"Bowman, Walters and Sawyer",Yemen,1988,Think Tanks,5926
Shepherd PLC,Jamaica,1972,Newspapers / Journalism,5687
"Solis, Knapp and Nash",Marshall Islands,1978,Aviation / Aerospace,9277
"Young, Buchanan and Vazquez",Greenland,2005,Sports,8299
"Ford, Patel and Singleton",Iraq,2011,Defense / Space,7245
King Inc,French Southern Territories,2013,Real Estate / Mortgage,7464
Jacobs-Kline,Bhutan,1988,Sporting Goods,2788
"Hardin, Walsh and Arias",Thailand,1980,Graphic Design / Web Design,3738
"Mccann, Dominguez and Ray",Guadeloupe,2016,Broadcast Media,8641
Beltran Ltd,Uzbekistan,2016,Media Production,2952
Chaney-Kent,Hungary,1972,Professional Training,1075
Thomas PLC,Maldives,1972,Telecommunications,2548
Patton Inc,Seychelles,2002,Venture Capital / VC,95
Gay Inc,Myanmar,2019,Luxury Goods / Jewelry,8106
House-Perry,Maldives,1977,Arts / Crafts,2938
Cortez LLC,Antarctica (the territory South of 60 deg S),1972,Printing,9056
Bridges-Carroll,Liechtenstein,1999,Commercial Real Estate,8937
Powers-Mack,Falkland Islands (Malvinas),1983,Sporting Goods,3985
"Baldwin, Warner and Russell",Jersey,1997,Legal Services,7675
Chase-Saunders,Palestinian Territory,1975,Venture Capital / VC,9145
Hood-Becker,Botswana,2004,Human Resources / HR,1175
Francis-Frazier,Christmas Island,2015,Gambling / Casinos,6202
Spence-Tran,United States of America,1996,Package / Freight Delivery,7426
Mcdowell-Dawson,Chad,1976,Sporting Goods,2861
Harrell LLC,Puerto Rico,2011,Motion Pictures / Film,2726
Mayer-Walter,Suriname,1997,Civic / Social Organization,4595
Cooley-Larson,Sri Lanka,1988,Furniture,4171
Henson Ltd,Heard Island and McDonald Islands,2010,Photography,406
Frye and Sons,Vietnam,2003,Library,746
"Newton, Ferguson and Camacho",Namibia,2020,Pharmaceuticals,8287
"Wall, Chandler and Chapman",Dominican Republic,1986,Maritime,4604
Leonard-Wilkinson,Chile,1995,Wholesale,8952
Walter and Sons,Nigeria,2014,Information Technology / IT,440
Pratt LLC,South Georgia and the South Sandwich Islands,1986,Medical Equipment,5359
Hebert-Santos,Cyprus,2004,Gambling / Casinos,7982
Hunt Ltd,Bahrain,1977,Primary / Secondary Education,1693
"Gillespie, Hatfield and Mccarty",Indonesia,1982,Education Management,5784
Little Ltd,South Africa,2016,Publishing Industry,7775
Merritt-Mcgrath,Egypt,1988,Maritime,6151
Collier and Sons,Brazil,2020,Transportation,9151
Brooks LLC,Norway,2004,Business Supplies / Equipment,58
"Werner, Berry and Dominguez",Botswana,2014,Textiles,9676
"Stanton, Graves and Ibarra",Grenada,2000,Professional Training,9431
Aguirre Ltd,Nigeria,2020,Public Safety,4941
Romero-Aguirre,Bahamas,2006,Think Tanks,142
Caldwell Inc,Morocco,2008,Library,1729
"Blevins, Love and Banks",Samoa,1977,Renewables / Environment,1891
Scott-Ramsey,Czech Republic,2018,Design,8263
Kennedy and Sons,Peru,1994,Food Production,3296
David and Sons,Serbia,2018,Events Services,4660
Graves Inc,Dominican Republic,1986,Staffing / Recruiting,8802
Mccann-Mcguire,Lesotho,1970,Legal Services,5800
Mclean-Mccarty,Qatar,1978,Transportation,7610
"Sims, Arroyo and Brennan",Lithuania,1998,Textiles,4963
Taylor LLC,Central African Republic,1997,Chemicals,8904
Young LLC,Iran,1970,Political Organization,5683
Holden-Wolf,American Samoa,1996,Utilities,5416
Paul Ltd,Holy See (Vatican City State),1993,Media Production,4929
Hinton Inc,Iran,2003,Retail Industry,2658
Stone Inc,Cote d'Ivoire,1984,Alternative Medicine,816
"Hart, Williamson and Klein",Suriname,1970,Management Consulting,4989
Donaldson-Romero,Turkmenistan,2002,Library,3232
"Joyce, Turner and Bolton",Bhutan,1975,Online Publishing,6016
Little Ltd,Mozambique,1989,Farming,381
Mercado Ltd,Lebanon,1971,Consumer Electronics,4759
Morrow-Lawson,Antigua and Barbuda,2009,Food / Beverages,3925
Compton LLC,Tonga,1997,Industrial Automation,2011
Clay-Delgado,Morocco,2003,Fundraising,7902
Fuller Inc,Guam,2013,Food / Beverages,9074
Mendoza Ltd,Bahamas,2002,Textiles,5158
"Mccormick, Stafford and Soto",Guyana,2000,Health / Fitness,9014
Robbins-Contreras,Lao People's Democratic Republic,1998,Investment Banking / Venture,2330
"Mcpherson, Gross and Mendez",Morocco,2002,Maritime,4087
Adkins Inc,Israel,1989,Architecture / Planning,5338
"Watson, Haynes and Phelps",Eritrea,2006,Capital Markets / Hedge Fund / Private Equity,7978
"Higgins, Stout and Page",South Africa,1997,Music,2806
Byrd Inc,Cocos (Keeling) Islands,2016,Events Services,2240
Norton Group,Burundi,2016,Utilities,9497
"Preston, Evans and Woodward",Venezuela,1984,Museums / Institutions,4291
Miranda Group,Vietnam,1995,Business Supplies / Equipment,7429
Malone-Odom,Nepal,1997,Alternative Medicine,4897
Gamble-Hill,Brunei Darussalam,1993,Computer / Network Security,3468
"Russo, Berger and Hopkins",Micronesia,2011,Insurance,3415
Wilcox LLC,Brazil,1988,Computer Games,8471
Pham-Bond,Comoros,1987,Real Estate / Mortgage,6746
Bush and Sons,Tunisia,2015,Railroad Manufacture,6321
Donaldson Group,Belarus,2016,Shipbuilding,1027
Heath-Barrera,Senegal,2018,Retail Industry,9569
Ward and Sons,France,2001,Veterinary,8887
Nielsen-Cooper,Tunisia,1975,Law Practice / Law Firms,5303
Davies-Fox,Philippines,1982,Program Development,6397
Griffith Group,Djibouti,2009,Furniture,1839
"Welch, Blake and Hamilton",Singapore,1972,Program Development,2059
"Henry, Mendoza and Holder",Yemen,2014,Renewables / Environment,1126
Conley Group,British Indian Ocean Territory (Chagos Archipelago),2013,Events Services,3806
Duncan-Bradshaw,Oman,1998,Wine / Spirits,7209
Rowland Group,Antigua and Barbuda,2000,Computer Games,4998
"Pacheco, Wheeler and Watts",Solomon Islands,1971,Wireless,5726
Mccann LLC,Malaysia,2009,Maritime,7152
"Case, Luna and Ballard",Korea,1976,Market Research,1202
Hardy-Clements,El Salvador,2010,Machinery,8486
"Snyder, Levine and Dodson",Saudi Arabia,2019,Museums / Institutions,8656
"Lopez, Moyer and Crane",Western Sahara,1985,Mechanical or Industrial Engineering,9665
Robles-Hubbard,Micronesia,2021,Executive Office,3536
Sanchez-Bell,Lao People's Democratic Republic,1987,Graphic Design / Web Design,9240
Adams and Sons,Philippines,1987,Computer / Network Security,1107
Cole-Gordon,Bahrain,2017,Furniture,7082
"Burnett, Estes and Bush",Yemen,2012,Paper / Forest Products,5608
Bautista PLC,Rwanda,1987,Nanotechnology,7917
Alvarado Inc,Bhutan,2020,Hospitality,4256
"Rios, Floyd and Diaz",South Georgia and the South Sandwich Islands,1975,Farming,2319
